Uttar_Pradesh,Madhya_Pradesh, Rajasthan,Maharashtra,Gujarat, Bihar,Haryana,Punjab,Shandong,Hebei,Henan,Jiangsu,Anhui,KANSAS,NORTH_DAKOTA,IDAHO,WASHINGTON,MONTANA,OKLAHOMA,SOUTH_DAKOTA,MINNESOTA,NEBRASKA,TEXAS,Buenos_Aires_t_per_ha,Cordoba_t_per_ha,Entre_Rios_t_per_ha,Santa_Fe_t_per_ha,New_South_Wales,Southern_Australia,Western_Australia,France,Germany,Poland,United.Kingdom,Central.Federal.District,Southern.Federal.District..2009.,Volga.Federal.District,Ukraine_FAO
0.051492609,0.049161627,-0.026040971,0.043409678,0.181152494,0.056369312,0.090002343,0.040072667,0.257187943,0.243708466,0.147426964,0.614921533,0.056870576,0.350779371,-0.058245541,-0.225782429,-0.51802752,-0.720484737,0.585686234,-0.260518038,-0.000474907,-0.071279762,0.295963795,0.131470361,0.133532449,-0.600674572,0.195652482,0.690182426,0.44090767,0.05797946,-0.071025237,0.004673099,-0.358159467,-0.154352909,NA,NA,NA,NA
-0.238384088,-0.219855533,-0.219016094,0.079529722,0.011876283,-0.26226836,-0.047482075,0.03832446,-0.394195025,-0.727427866,-0.188192606,0.481526133,-0.258114777,0.12626099,-0.586174356,0.443526002,0.169780862,-0.68321144,0.02324196,-0.436877786,-0.208330207,0.184542086,-0.075769983,-0.061086548,0.096105696,-0.453574664,0.284894207,0.319470365,0.461621412,-0.263313728,0.163542172,-0.165977233,-0.51246425,0.300740566,NA,NA,NA,NA
0.042640951,-0.021612634,-0.111687294,0.051714204,0.173675471,-0.098128407,-0.000318352,-0.116340694,-0.174678791,-0.597138772,0.148515097,-0.24960811,0.158282332,-0.568402593,0.049073924,0.158533574,0.413290366,-0.283016535,-0.19585988,-0.190149284,0.269425272,0.036761624,0.092107527,-0.085330996,-0.462506466,0.087617527,-0.100417681,-0.611588944,-0.067163241,-0.456684766,-0.171571082,-0.164452324,-0.188208972,0.069259545,NA,NA,NA,NA
-0.023937059,0.006608761,0.028417544,0.038416725,0.163903505,-0.112213909,-0.087530223,-0.003548669,-0.362020804,-0.400342534,0.282272024,0.285540059,0.594876338,0.082531938,0.240220693,0.259519507,-0.069434428,-0.03772817,0.195642901,0.055982378,0.235739055,-0.043871167,-0.2086242,-0.408784388,-0.479586218,-0.252637752,-0.006764918,0.140707109,-0.044829349,-0.234916526,-0.109954362,0.05376044,-0.122574331,0.240524575,NA,NA,NA,NA
0.116563012,0.019800322,0.143583713,-0.079031787,0.223940462,-0.097816746,-0.009454029,-0.020625072,0.344284103,0.422911079,0.579100325,0.114415271,0.513381806,0.498682314,-0.086712708,0.641195992,0.901018779,-0.249974537,0.321998138,0.395657025,0.013408706,0.48064371,0.501919165,0.361641875,-0.027886515,0.360216338,0.241679528,-1.021758603,-0.769542623,-0.249495721,-0.377896692,-0.131162994,0.122662182,0.219205564,NA,NA,NA,NA
0.108315038,0.07499875,-0.148287187,0.074187788,0.296286425,0.012345785,-0.127609888,-0.101419767,0.186770713,0.335325747,0.806422337,0.251508743,0.725513423,0.276540742,0.292220013,0.068613166,0.6553174,-0.812158871,0.383787138,0.465714407,0.685156835,-0.003693728,0.139219809,0.019336405,0.077908888,0.167893084,0.077881406,0.555710449,0.372975699,-0.522346163,0.801186161,0.440564711,0.245426165,1.388919783,NA,NA,NA,NA
0.026187338,-0.034055888,-0.174180089,-0.051249653,0.156878923,0.034780642,-0.129100736,0.081585727,0.437468679,0.338840992,0.330460563,-0.078905151,0.599685987,0.223098943,0.516215093,-0.736258335,-0.321882215,-1.495634453,-0.023343934,0.111469194,1.047206096,0.184366553,0.250117446,0.423877818,0.682205408,0.465822076,0.483375133,-0.031376442,0.0680002,-0.109459419,0.196050919,0.182870566,0.113946195,-0.166822833,NA,NA,NA,NA
0.09658036,-0.040550327,0.362353456,-0.213116762,-0.147278872,-0.021762263,0.274336041,0.234450698,0.185868084,0.347112812,0.252837655,0.150950771,0.766814399,-0.132401801,0.148143718,-0.244685892,-0.322023418,-0.410679606,-0.092994868,-0.008039011,-0.077320808,0.103324606,-0.241419294,-0.34803526,0.010757603,-0.118240948,-0.306736255,-0.019560094,-0.096421732,-0.46641879,-0.491238409,0.291935784,0.353953709,0.30948871,NA,NA,NA,NA
-0.032364001,-0.004687366,-0.069271144,-0.241317851,0.106445522,-0.105547001,-0.082310088,-0.418778913,-0.003612672,-0.035006492,0.228676399,-0.008144194,0.928013655,0.117904404,0.015177018,0.496004433,0.177765418,-0.220397701,-0.229076572,0.087004329,0.156248876,0.492930504,-0.057765392,-0.135184196,-0.365720854,-0.179754252,-0.19361116,-0.09675066,0.026691315,-0.281726952,-0.507437195,-0.174995174,0.338682904,-0.811358944,NA,NA,NA,NA
-0.045843025,-0.029999449,-0.075364374,-0.132565743,-0.199955385,-0.158777639,-0.210530338,0.069181435,-0.414154853,0.016811686,-0.09900031,-0.141388007,0.579698832,-0.1019919,-1.02593893,-0.22776097,0.384214342,-1.348467155,0.375133949,-1.008936312,-1.063137047,-0.059065664,-0.073360891,-0.262660349,0.209162789,0.353829739,0.211830527,-0.066912635,-0.238190276,-0.399351765,-0.030111261,0.129498172,0.061770629,-0.714270847,NA,NA,NA,NA
0.168844155,-0.008676717,0.209880836,0.163403229,0.27400394,-0.048965912,0.289086355,0.112056728,-0.275961844,0.093653435,0.115530522,-0.597831776,0.035585083,-0.792100478,-0.426433104,-0.249729993,-0.455665932,-0.56016643,-0.230798096,-0.424296513,-0.083805714,-0.678413786,-0.624684828,-0.241585069,0.035860336,0.15109428,-0.080302637,0.066073471,-0.529978505,-0.006715367,0.062700386,-0.556162612,0.403956286,-0.306868432,NA,NA,NA,NA
-0.096588368,-0.108610096,-0.027500581,0.027754438,-0.309712643,-0.121110643,-0.035625664,-0.042880865,-0.2651752,0.169145564,-0.149608039,-0.357644067,-0.084612374,0.266818638,0.34764046,0.074003272,0.294466741,-0.552224039,0.105004856,0.226913093,0.585815791,0.047136268,0.103766339,-0.064289701,-0.535447394,0.319598149,-0.323953701,-0.118217965,0.222344499,-0.224600355,0.099841789,-0.097710971,0.476781731,-0.174489555,NA,NA,NA,NA
-0.03101902,0.113325785,0.23040265,-0.024032631,-0.10781303,0.01540018,0.168476144,0.000991821,0.206216048,-0.099158374,-0.450992869,-0.653843999,-1.532778267,-0.220494816,0.038702671,-0.151059071,-0.727810316,-0.006543539,-0.231537962,-0.003543168,-0.607749554,-0.370665354,0.026995133,-0.215155579,-0.147180598,0.062205482,0.041652614,0.159664697,-0.082519192,-0.114784509,0.213505711,0.274730945,0.29329118,0.017219466,NA,NA,NA,NA
0.085288879,-0.00215836,0.316051614,-0.105046705,0.06087423,-0.013724208,0.190139893,0.014648075,0.11797265,-0.176588783,-0.301900805,-0.009081672,-0.04229728,-0.169301295,0.697874379,-0.272980219,-0.529853571,-0.456428538,-0.130854672,0.034298986,0.626046292,-0.519568481,0.288014486,-0.097824031,0.534699474,-0.164054391,0.200549854,-0.303052255,0.148732752,-0.155285309,-0.131399387,-0.631958594,-0.47436888,-0.493493065,NA,NA,NA,0.421552164
-0.086856016,-0.063628351,0.030466475,0.045762552,0.039600825,-0.10292442,0.124977417,-0.08919382,0.100508324,-0.337667171,0.053991334,-0.151147641,0.189245938,-0.117611416,-0.001698623,0.339779597,0.39065429,0.135792307,-0.09735515,-0.00254619,-0.675848567,-0.197822923,0.146854931,0.093473623,0.44184048,0.650892897,0.487709762,0.345400322,0.181398494,0.003415549,-0.12788706,-0.13629131,-0.236749781,-0.051594274,NA,NA,NA,1.12127599
